DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_CA: (SDGRC) Central Africa,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),_T: Total,2023,5.893697551805655,0: Units,PCNT: %,,,,,,,,,,,,,,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_CA: (SDGRC) Central Africa,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),_T: Total,2023,1.3878670881628326,0: Units,PCNT: %,,,,,,,,,,,,,,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_CA: (SDGRC) Central Africa,NT_BW_LBW: Prevalence of low birth weight among new-borns,_T: Total,2020,13.120881275192056,0: Units,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_EA: (SDGRC) Eastern Africa,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),_T: Total,2023,5.470708854760565,0: Units,PCNT: %,,,,,,,,,,,,,,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_EA: (SDGRC) Eastern Africa,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),_T: Total,2023,1.2626330130365353,0: Units,PCNT: %,,,,,,,,,,,,,,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_EA: (SDGRC) Eastern Africa,NT_BW_LBW: Prevalence of low birth weight among new-borns,_T: Total,2020,11.14641190923802,0: Units,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_SA: (SDGRC) Southern Africa,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),_T: Total,2023,3.5084055606868594,0: Units,PCNT: %,,,,,,,,,,,,,,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_SA: (SDGRC) Southern Africa,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),_T: Total,2023,1.1347085638532393,0: Units,PCNT: %,,,,,,,,,,,,,,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_SA: (SDGRC) Southern Africa,NT_BW_LBW: Prevalence of low birth weight among new-borns,_T: Total,2020,15.41304590482019,0: Units,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_WA: (SDGRC) West Africa,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),_T: Total,2023,7.4345953824030735,0: Units,PCNT: %,,,,,,,,,,,,,,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_WA: (SDGRC) West Africa,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),_T: Total,2023,1.5742908339191963,0: Units,PCNT: %,,,,,,,,,,,,,,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),F: Female,2018,38.1,0: Units,PCNT: %,RA: Reanalysed,,36,40.2,9303.1,Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Afghanistan Health Survey 2018,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),M: Male,2018,38.3,0: Units,PCNT: %,RA: Reanalysed,,36.4,40.1,9842.2,Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Afghanistan Health Survey 2018,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),_T: Total,2018,38.2,0: Units,PCNT: %,RA: Reanalysed,,36.5,39.9,19145.3,Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Afghanistan Health Survey 2018,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),F: Female,2018,4.1,0: Units,PCNT: %,RA: Reanalysed,,3.6,4.8,9593.1,Oedema data was not considered in the analysis  Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Afghanistan Health Survey 2018,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),M: Male,2018,6.1,0: Units,PCNT: %,RA: Reanalysed,,5.4,6.8,10099.3,Oedema data was not considered in the analysis  Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Afghanistan Health Survey 2018,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),_T: Total,2018,5.1,0: Units,PCNT: %,RA: Reanalysed,,4.7,5.6,19692.4,Oedema data was not considered in the analysis  Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Afghanistan Health Survey 2018,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),F: Female,2018,1.4,0: Units,PCNT: %,RA: Reanalysed,,1.1,1.8,9593.1,Oedema data was not considered in the analysis  Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Afghanistan Health Survey 2018,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2004-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),M: Male,2018,1.7,0: Units,PCNT: %,RA: Reanalysed,,1.4,2.1,10099.3,Oedema data was not considered in the analysis  Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Afghanistan Health Survey 2018,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2004-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),_T: Total,2018,1.6,0: Units,PCNT: %,RA: Reanalysed,,1.3,1.8,19692.4,Oedema data was not considered in the analysis  Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Afghanistan Health Survey 2018,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2004-2018,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNDEV_002: Africa,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),_T: Total,2016,32.3,0: Units,PCNT: %,E: Estimated value,,31.9,32.7,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2000-2022,Y0T4: Under 5 years old
